Character,Image_URL
3-D Man,https://upload.wikimedia.org/wikipedia/en/thumb/9/91/MarvelPremiere35_3DMan.jpg/220px-MarvelPremiere35_3DMan.jpg
A-Bomb,None
Abe Sapien,https://upload.wikimedia.org/wikipedia/en/1/1c/AbeSapien.jpg
Abin Sur,https://static.wikia.nocookie.net/marvel_dc/images/d/de/Abin_Sur_Prime_Earth_0001.jpg/revision/latest/scale-to-width-down/325?cb=20190805043751
Abomination,None
Abraxas,None
Absorbing Man,https://upload.wikimedia.org/wikipedia/en/thumb/e/e3/Thor-376.jpg/220px-Thor-376.jpg
Adam Monroe,None
Adam Strange,https://static.wikia.nocookie.net/marvel_dc/images/3/31/Strange_Adventures_Vol_5_1_Textless_Variant.jpg/revision/latest/scale-to-width-down/329?cb=20200305123808
Agent Bob,None
Agent Zero,https://static.wikia.nocookie.net/marvel_dc/images/1/15/Jeffrey_Colby_Earth-One_0001.jpg/revision/latest/scale-to-width-down/185?cb=20170206121625
Air-Walker,https://upload.wikimedia.org/wikipedia/en/thumb/3/34/Thor-305.jpg/220px-Thor-305.jpg
Ajax,https://static.wikia.nocookie.net/marvel_dc/images/f/f5/Wonder_Man_001.jpg/revision/latest/scale-to-width-down/168?cb=20200609222729
Alan Scott,https://static.wikia.nocookie.net/marvel_dc/images/e/e7/The_New_Golden_Age_Vol_1_1_Textless_Talaski_Variant.jpg/revision/latest/scale-to-width-down/329?cb=20221116045529
Alex Mercer,None
Alex Woolsly,None
Alien,https://static.wikia.nocookie.net/marvel_dc/images/f/fc/DC_Rebirth_Logo.png/revision/latest/scale-to-width-down/40?cb=20160517164738
Allan Quatermain,https://static.wikia.nocookie.net/marvel_dc/images/d/d9/Allan_Quatermain.jpg/revision/latest/scale-to-width-down/185?cb=20130505122717
Amazo,https://static.wikia.nocookie.net/marvel_dc/images/0/05/Justice_League_Vol_2_23.4_Secret_Society_Textless.jpg/revision/latest/scale-to-width-down/323?cb=20130925203350
Ammo,None
Ando Masahashi,None
Angel,https://static.wikia.nocookie.net/marvel_dc/images/7/72/Action_Comics_Vol_2_14_Textless.jpg/revision/latest/scale-to-width-down/330?cb=20121108205301
Angel Dust,None
Angel Salvadore,https://upload.wikimedia.org/wikipedia/en/thumb/9/9c/TempestAngelSalvadore.jpg/220px-TempestAngelSalvadore.jpg
Angela,None
Animal Man,https://static.wikia.nocookie.net/marvel_dc/images/4/45/Animal_Man_Vol_2_21_Textless.jpg/revision/latest/scale-to-width-down/333?cb=20130619192913
Annihilus,https://upload.wikimedia.org/wikipedia/en/thumb/3/30/Annihilus.png/220px-Annihilus.png
Ant-Man,https://static.wikia.nocookie.net/marvel_dc/images/d/d4/Jumbo_Carson_01.png/revision/latest?cb=20110622184542
Ant-Man II,https://upload.wikimedia.org/wikipedia/en/thumb/3/38/Ant-Man_%28Scott_Lang%29.jpg/220px-Ant-Man_%28Scott_Lang%29.jpg
Anti-Monitor,https://static.wikia.nocookie.net/marvel_dc/images/c/cd/Mobius_Sixth_Dimension_005.jpg/revision/latest/scale-to-width-down/350?cb=20230520161439
Anti-Spawn,None
Anti-Venom,https://upload.wikimedia.org/wikipedia/en/thumb/7/7d/Anti-Venom.jpg/220px-Anti-Venom.jpg
Apocalypse,https://static.wikia.nocookie.net/marvel_dc/images/d/d9/Apokolips_006.jpg/revision/latest/scale-to-width-down/125?cb=20070510180426
Aquababy,https://static.wikia.nocookie.net/marvel_dc/images/6/60/Aquababy_001.jpg/revision/latest/scale-to-width-down/350?cb=20110827162734
Aqualad,https://static.wikia.nocookie.net/marvel_dc/images/d/df/Aquaman_The_Becoming_Vol_1_1_Textless_Manapul_Variant.jpg/revision/latest/scale-to-width-down/323?cb=20210922053517
Aquaman,https://static.wikia.nocookie.net/marvel_dc/images/5/55/Aquaman_Vol_8_44_Textless_Variant.jpg/revision/latest/scale-to-width-down/329?cb=20190124183404
Arachne,https://static.wikia.nocookie.net/marvel_dc/images/e/e1/Arachne_001.jpg/revision/latest/scale-to-width-down/350?cb=20131212141359
Archangel,None
Arclight,https://static.wikia.nocookie.net/marvel_dc/images/6/61/Arclight_001.jpg/revision/latest/scale-to-width-down/185?cb=20120823185938
Ardina,None
Ares,https://static.wikia.nocookie.net/marvel_dc/images/6/67/Ares_Prime_Earth_007.png/revision/latest/scale-to-width-down/350?cb=20240102085659
Ariel,https://static.wikia.nocookie.net/marvel_dc/images/0/0a/Ariel.png/revision/latest/scale-to-width-down/350?cb=20110501185255
Armor,None
Astro Boy,https://upload.wikimedia.org/wikipedia/en/thumb/a/a6/Astro_Boy-08.jpg/220px-Astro_Boy-08.jpg
Atlas,https://static.wikia.nocookie.net/marvel_dc/images/d/d9/Atlas_Prime_Earth_0001.jpg/revision/latest/scale-to-width-down/350?cb=20170719230600
Atom,https://static.wikia.nocookie.net/marvel_dc/images/f/f2/Justice_League_of_America_The_Atom_Rebirth_Vol_1_1_Textless_Variant.jpg/revision/latest/scale-to-width-down/329?cb=20170107070038
Atom Girl,https://static.wikia.nocookie.net/marvel_dc/images/b/b6/Salu_Digby_Post-Rebirth_0001.jpg/revision/latest/scale-to-width-down/350?cb=20210125130115
Atom II,None
Atom III,None
Atom IV,None
Aurora,https://static.wikia.nocookie.net/marvel_dc/images/e/ef/Aurora_%28Prime_Earth%29_0001.png/revision/latest/scale-to-width-down/284?cb=20210111202303
Azazel,https://static.wikia.nocookie.net/marvel_dc/images/d/de/Azazel.jpg/revision/latest?cb=20110415114833
Azrael,https://static.wikia.nocookie.net/marvel_dc/images/1/1a/Sword_of_Azrael_Vol_1_2_Textless_Melnikov_Variant.jpg/revision/latest/scale-to-width-down/329?cb=20221003021329
Aztar,https://static.wikia.nocookie.net/marvel_dc/images/0/04/Spectre_Prime_Earth_005.jpg/revision/latest/scale-to-width-down/350?cb=20220216002734
Bananaman,https://upload.wikimedia.org/wikipedia/en/thumb/a/ae/Bananaman_-_Beano_Superhero.jpg/250px-Bananaman_-_Beano_Superhero.jpg
Bane,https://static.wikia.nocookie.net/marvel_dc/images/a/ab/Batman_The_Dark_Knight_Vol_2_6_Textless.jpg/revision/latest/scale-to-width-down/325?cb=20131026211303
Banshee,https://static.wikia.nocookie.net/marvel_dc/images/a/a0/Banshees_001.jpg/revision/latest/scale-to-width-down/350?cb=20230516191720
Bantam,None
Batgirl,https://static.wikia.nocookie.net/marvel_dc/images/7/7b/Batgirls_Vol_1_1_Textless_Masked_Variant.jpg/revision/latest/scale-to-width-down/329?cb=20211215131724
Batgirl IV,None
Batgirl VI,None
Batman,https://static.wikia.nocookie.net/marvel_dc/images/7/76/Batman_Urban_Legends_Vol_1_5_Textless.jpg/revision/latest/scale-to-width-down/329?cb=20210717062920
Batman II,https://static.wikia.nocookie.net/marvel_dc/images/7/76/Batman_Urban_Legends_Vol_1_5_Textless.jpg/revision/latest/scale-to-width-down/329?cb=20210717062920
Battlestar,None
Batwoman V,None
Beak,None
Beast,https://static.wikia.nocookie.net/marvel_dc/images/1/10/Beast_Hellblazer_0001.jpg/revision/latest/scale-to-width-down/350?cb=20160515102847
Beast Boy,https://static.wikia.nocookie.net/marvel_dc/images/8/85/Tales_of_the_Titans_Vol_1_4_Textless.jpg/revision/latest/scale-to-width-down/329?cb=20231024091129
Ben 10,https://upload.wikimedia.org/wikipedia/commons/6/6f/Ben_10_reboot_logo.png
Beta Ray Bill,https://upload.wikimedia.org/wikipedia/en/thumb/b/bf/Beta_Ray_Bill.jpg/220px-Beta_Ray_Bill.jpg
Beyonder,https://static.wikia.nocookie.net/marvel_dc/images/4/42/Beyonder_Dark_Multiverse_0001.jpg/revision/latest?cb=20200703125526
Big Barda,https://static.wikia.nocookie.net/marvel_dc/images/6/62/Female_Furies_Vol_1_1_Textless_Variant.jpg/revision/latest/scale-to-width-down/333?cb=20190208153338
Big Daddy,https://static.wikia.nocookie.net/marvel_dc/images/9/92/Web_Impact_002.jpg/revision/latest/scale-to-width-down/333?cb=20100928195548
Big Man,https://static.wikia.nocookie.net/marvel_dc/images/8/80/Sweet_Tooth_Vol_1_6_Textless.jpg/revision/latest/scale-to-width-down/121?cb=20150519213030
Bill Harken,None
Billy Kincaid,None
Binary,None
Bionic Woman,None
Bird-Brain,None
Bird-Man,None
Bird-Man II,None
Birdman,https://static.wikia.nocookie.net/marvel_dc/images/1/1c/Bird-Man_001.jpg/revision/latest/scale-to-width-down/346?cb=20140324130023
Bishop,https://static.wikia.nocookie.net/marvel_dc/images/5/58/Bishop_Arrowverse_0001.png/revision/latest/scale-to-width-down/350?cb=20210619055510
Bizarro,https://static.wikia.nocookie.net/marvel_dc/images/d/d6/Red_Hood_Outlaw_Annual_Vol_1_3_Textless.jpg/revision/latest/scale-to-width-down/325?cb=20190803032642
Bizarro-Girl,https://static.wikia.nocookie.net/marvel_dc/images/6/63/Bizarro-Girl_001.jpg/revision/latest/scale-to-width-down/332?cb=20110926172046
Black Abbott,None
Black Adam,https://static.wikia.nocookie.net/marvel_dc/images/0/05/Black_Adam_Vol_1_1_Textless.jpg/revision/latest/scale-to-width-down/329?cb=20220625090159
Black Bolt,https://upload.wikimedia.org/wikipedia/en/thumb/4/4e/WarofKings-5.jpg/220px-WarofKings-5.jpg
Black Canary,https://static.wikia.nocookie.net/marvel_dc/images/0/05/Batman_Urban_Legends_Vol_1_6_Textless_Ejikure_Variant.jpg/revision/latest/scale-to-width-down/329?cb=20210812181728
Black Cat,https://static.wikia.nocookie.net/marvel_dc/images/c/c2/Black_Cat_001.jpg/revision/latest/scale-to-width-down/192?cb=20200619171006
Black Flash,https://static.wikia.nocookie.net/marvel_dc/images/e/ee/Black_Flash_Prime_Earth_001.jpg/revision/latest/scale-to-width-down/350?cb=20190816091522
Black Knight III,None
Black Lightning,https://static.wikia.nocookie.net/marvel_dc/images/0/06/Batman_and_the_Outsiders_Vol_3_9_Variant_Textless.jpg/revision/latest/scale-to-width-down/329?cb=20200127072625
Black Mamba,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Dendroaspis_polylepis_%2814%29.jpg/220px-Dendroaspis_polylepis_%2814%29.jpg
Black Manta,https://static.wikia.nocookie.net/marvel_dc/images/9/98/Aquamen_Vol_1_2_Textless_Variant.jpg/revision/latest/scale-to-width-down/321?cb=20220329094343
Black Panther,None
Black Vulcan,https://static.wikia.nocookie.net/marvel_dc/images/7/72/Black_Vulcan_Super_Friends_001.jpg/revision/latest/scale-to-width-down/185?cb=20120814133146
Black Widow,https://static.wikia.nocookie.net/marvel_dc/images/0/0e/Black_Widow_Batman_1966_TV_Series_0001.jpg/revision/latest/scale-to-width-down/350?cb=20191126174632
Blackout,https://static.wikia.nocookie.net/marvel_dc/images/4/42/Blackout_0001.JPG/revision/latest/scale-to-width-down/286?cb=20131228210431
Blackwing,https://static.wikia.nocookie.net/marvel_dc/images/a/ad/Blackwing_001.png/revision/latest/scale-to-width-down/350?cb=20110208223126
Blackwulf,https://upload.wikimedia.org/wikipedia/en/thumb/6/6b/Blackwulf1_HCV.jpg/200px-Blackwulf1_HCV.jpg
Blade,https://static.wikia.nocookie.net/marvel_dc/images/5/50/Blade_Dial_H.png/revision/latest/scale-to-width-down/103?cb=20110415184131
Bling!,None
Blink,https://static.wikia.nocookie.net/marvel_dc/images/e/e6/Batman_Legends_of_the_Dark_Knight_Vol_1_164_Textless.jpg/revision/latest/scale-to-width-down/123?cb=20150521174542
Blizzard,https://static.wikia.nocookie.net/marvel_dc/images/8/8f/Lisa_Davis_%28Earth-One%29.jpg/revision/latest/scale-to-width-down/292?cb=20140507145313
Blizzard II,None
Blob,https://static.wikia.nocookie.net/marvel_dc/images/6/6e/Daniel_Stone_01.jpg/revision/latest/scale-to-width-down/350?cb=20110216063524
Bloodaxe,None
Bloodhawk,https://upload.wikimedia.org/wikipedia/en/thumb/f/fb/Wot6.jpg/250px-Wot6.jpg
Bloodwraith,None
Blue Beetle,https://static.wikia.nocookie.net/marvel_dc/images/c/c1/Blue_Beetle_Vol_9_13_Textless_Variant.jpg/revision/latest/scale-to-width-down/329?cb=20170927194914
Blue Beetle II,None
Blue Beetle III,None
Blue Streak,https://static.wikia.nocookie.net/marvel_dc/images/f/fc/Max_Mercury_0002.jpg/revision/latest/scale-to-width-down/330?cb=20121011080416
Boba Fett,https://upload.wikimedia.org/wikipedia/en/thumb/3/3e/FettbobaJB.png/220px-FettbobaJB.png
Bomb Queen,https://upload.wikimedia.org/wikipedia/en/thumb/0/09/Bomb_queen.jpg/220px-Bomb_queen.jpg
Boom-Boom,None
Booster Gold,https://static.wikia.nocookie.net/marvel_dc/images/1/15/Blue_%26_Gold_Vol_1_1_Textless_Variant.jpg/revision/latest/scale-to-width-down/329?cb=20210720204945
Box IV,None
Bradley,None
Brainiac,https://static.wikia.nocookie.net/marvel_dc/images/c/c0/Justice_League_Vol_4_18_Textless.jpg/revision/latest/scale-to-width-down/325?cb=20190225002124
Brainiac 5,https://static.wikia.nocookie.net/marvel_dc/images/d/db/Brainiac_5_Post-Rebirth_001.jpg/revision/latest/scale-to-width-down/299?cb=20191227034722
Brother Voodoo,https://upload.wikimedia.org/wikipedia/en/thumb/1/1a/BrotherVoodoo.png/220px-BrotherVoodoo.png
Brundlefly,None
Buffy,None
Bullseye,None
Bumblebee,https://static.wikia.nocookie.net/marvel_dc/images/8/83/Titans_Vol_3_9_Textless.jpg/revision/latest/scale-to-width-down/328?cb=20170305142258
Bumbleboy,None
Bushido,https://static.wikia.nocookie.net/marvel_dc/images/5/5a/Bushido.jpg/revision/latest/scale-to-width-down/89?cb=20130710150841
Cable,None
Callisto,https://static.wikia.nocookie.net/marvel_dc/images/b/bc/Callisto_001.jpg/revision/latest/scale-to-width-down/350?cb=20130924182009
Cameron Hicks,None
