Character,Image_URL
3-D Man,https://upload.wikimedia.org/wikipedia/en/thumb/9/91/MarvelPremiere35_3DMan.jpg/220px-MarvelPremiere35_3DMan.jpg
Abe Sapien,https://upload.wikimedia.org/wikipedia/en/1/1c/AbeSapien.jpg
Abin Sur,https://upload.wikimedia.org/wikipedia/en/thumb/2/26/Abin_Sur.png/220px-Abin_Sur.png
Absorbing Man,https://upload.wikimedia.org/wikipedia/en/thumb/e/e3/Thor-376.jpg/220px-Thor-376.jpg
Adam Strange,https://upload.wikimedia.org/wikipedia/en/8/8d/Adam_Strange.png
Agent Zero,https://upload.wikimedia.org/wikipedia/en/thumb/7/76/WEAPON_X_3.jpg/220px-WEAPON_X_3.jpg
Air-Walker,https://upload.wikimedia.org/wikipedia/en/thumb/3/34/Thor-305.jpg/220px-Thor-305.jpg
Ajax,https://static.wikia.nocookie.net/marvel_dc/images/f/f5/Wonder_Man_001.jpg/revision/latest/scale-to-width-down/168?cb=20200609222729
Alan Scott,https://upload.wikimedia.org/wikipedia/en/thumb/1/1a/Green_Lantern_%28Alan_Scott%29.png/220px-Green_Lantern_%28Alan_Scott%29.png
Alien,https://static.wikia.nocookie.net/marvel_dc/images/f/fc/DC_Rebirth_Logo.png/revision/latest/scale-to-width-down/40?cb=20160517164738
Allan Quatermain,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Allan_Quatermain.jpg/200px-Allan_Quatermain.jpg
Amazo,https://upload.wikimedia.org/wikipedia/en/7/76/Amazo.png
Angel,https://static.wikia.nocookie.net/marvel_dc/images/7/72/Action_Comics_Vol_2_14_Textless.jpg/revision/latest/scale-to-width-down/330?cb=20121108205301
Angel Salvadore,https://upload.wikimedia.org/wikipedia/en/thumb/9/9c/TempestAngelSalvadore.jpg/220px-TempestAngelSalvadore.jpg
Animal Man,https://upload.wikimedia.org/wikipedia/en/2/2c/Animal_Man_%28Bernhard_%22Buddy%22_Baker%29.png
Annihilus,https://upload.wikimedia.org/wikipedia/en/thumb/3/30/Annihilus.png/220px-Annihilus.png
Ant-Man,https://upload.wikimedia.org/wikipedia/en/thumb/6/6b/Irredeemable_Ant-Man_Vol_1_5_Textless.jpg/220px-Irredeemable_Ant-Man_Vol_1_5_Textless.jpg
Ant-Man II,https://upload.wikimedia.org/wikipedia/en/thumb/3/38/Ant-Man_%28Scott_Lang%29.jpg/220px-Ant-Man_%28Scott_Lang%29.jpg
Anti-Monitor,https://upload.wikimedia.org/wikipedia/en/thumb/0/0f/Anti-Monitor_%28Ivan_Reis%27s_art%29.png/220px-Anti-Monitor_%28Ivan_Reis%27s_art%29.png
Anti-Venom,https://upload.wikimedia.org/wikipedia/en/thumb/7/7d/Anti-Venom.jpg/220px-Anti-Venom.jpg
Apocalypse,https://static.wikia.nocookie.net/marvel_dc/images/d/d9/Apokolips_006.jpg/revision/latest/scale-to-width-down/125?cb=20070510180426
Aquababy,https://static.wikia.nocookie.net/marvel_dc/images/6/60/Aquababy_001.jpg/revision/latest/scale-to-width-down/350?cb=20110827162734
Aqualad,https://static.wikia.nocookie.net/marvel_dc/images/d/df/Aquaman_The_Becoming_Vol_1_1_Textless_Manapul_Variant.jpg/revision/latest/scale-to-width-down/323?cb=20210922053517
Aquaman,https://upload.wikimedia.org/wikipedia/en/thumb/9/9d/Aquaman_Rebirth_1.png/220px-Aquaman_Rebirth_1.png
Arachne,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Ren%C3%A9-Antoine_Houasse_-_Minerve_et_Arachne_%28Versailles%29.jpg/220px-Ren%C3%A9-Antoine_Houasse_-_Minerve_et_Arachne_%28Versailles%29.jpg
Arclight,https://static.wikia.nocookie.net/marvel_dc/images/6/61/Arclight_001.jpg/revision/latest/scale-to-width-down/185?cb=20120823185938
Ares,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Ares_Canope_Villa_Adriana_b.jpg/220px-Ares_Canope_Villa_Adriana_b.jpg
Ariel,https://static.wikia.nocookie.net/marvel_dc/images/0/0a/Ariel.png/revision/latest/scale-to-width-down/350?cb=20110501185255
Astro Boy,https://upload.wikimedia.org/wikipedia/en/thumb/a/a6/Astro_Boy-08.jpg/220px-Astro_Boy-08.jpg
Atlas,https://static.wikia.nocookie.net/marvel_dc/images/d/d9/Atlas_Prime_Earth_0001.jpg/revision/latest/scale-to-width-down/350?cb=20170719230600
Atom,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Helium_atom_QM.svg/300px-Helium_atom_QM.svg.png
Atom Girl,https://upload.wikimedia.org/wikipedia/en/thumb/7/72/Violet_001.webp/220px-Violet_001.webp.png
Aurora,https://static.wikia.nocookie.net/marvel_dc/images/e/ef/Aurora_%28Prime_Earth%29_0001.png/revision/latest/scale-to-width-down/284?cb=20210111202303
Azazel,https://static.wikia.nocookie.net/marvel_dc/images/d/de/Azazel.jpg/revision/latest?cb=20110415114833
Azrael,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Evelyn_De_Morgan_-_Angel_of_Death.jpg/250px-Evelyn_De_Morgan_-_Angel_of_Death.jpg
Aztar,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Aztar_Corporation_logo.jpg/220px-Aztar_Corporation_logo.jpg
Bananaman,https://upload.wikimedia.org/wikipedia/en/thumb/a/ae/Bananaman_-_Beano_Superhero.jpg/250px-Bananaman_-_Beano_Superhero.jpg
Bane,https://static.wikia.nocookie.net/marvel_dc/images/a/ab/Batman_The_Dark_Knight_Vol_2_6_Textless.jpg/revision/latest/scale-to-width-down/325?cb=20131026211303
Banshee,https://static.wikia.nocookie.net/marvel_dc/images/a/a0/Banshees_001.jpg/revision/latest/scale-to-width-down/350?cb=20230516191720
Batgirl,https://upload.wikimedia.org/wikipedia/en/thumb/3/3a/Batgirls1variant.jpeg/220px-Batgirls1variant.jpeg
Batman,https://upload.wikimedia.org/wikipedia/en/thumb/c/c7/Batman_Infobox.jpg/220px-Batman_Infobox.jpg
Batman II,https://static.wikia.nocookie.net/marvel_dc/images/7/76/Batman_Urban_Legends_Vol_1_5_Textless.jpg/revision/latest/scale-to-width-down/329?cb=20210717062920
