Name,Image_URL,Real name,First Appearance,Creators,Team Affiliations,Aliases,Base of Operations,Powers,Skills and Abilities,Tools and Weapons
A-Bomb,https://static.wikia.nocookie.net/superheroes/images/2/27/A-Bomb.jpg/revision/latest/scale-to-width-down/180?cb=20170820172047,,"The Incredible Hulk (Vol. 1) #1 (May, 1962)","Stan Lee, Jack Kirby","Avengers, Loners","Whisperer, A-Bomb, Bucky, Hulk",Mobiles,Currently none,"Expert acrobat and hand to hand combatant, Self-taught folk and rock n' roll singer and guitarist, Expert in technology and security hacking",
Abe Sapien,https://static.wikia.nocookie.net/superheroes/images/c/c8/Abe_Sapien.jpg/revision/latest/scale-to-width-down/250?cb=20171015155223,,"Hellboy: Seed of Destruction #1 (Mar, 1994)",Mike Mignola,B.P.R.D.,"Brother Blue, Fishstick, Waterfisher, King Ocean",B.P.R.D. headquarters,"Underwater breathing, Psychometry, Telepathy, aquatically adapted physiology","Genius-level intelligence, Excellent Marksmanship, formidable hand-to-hand combatant",
Abin Sur,https://static.wikia.nocookie.net/superheroes/images/2/26/Abin_Sur.png/revision/latest/scale-to-width-down/250?cb=20150428140108,,"Showcase #22 (September–October, 1959)","John Broome, Gil Kane",,Lagzia,Ungara,Ability to form solid light constructs with his Green Lantern ring,"Green Lantern Training, Strong Willpower",Green Lantern Ring and Power Battery
Adam Monroe,https://static.wikia.nocookie.net/superheroes/images/1/13/Adam_Monroe.jpg/revision/latest?cb=20201001165950,,,,,,,,,
Adam Strange,https://static.wikia.nocookie.net/superheroes/images/e/e0/Adam_Strange.jpg/revision/latest/scale-to-width-down/250?cb=20150318153724,,"Showcase #17 (November, 1958)","Julius Schwartz, Murphy Anderson",,,Earth/Rann,"can see into the whole electromagnetic spectrum, Involuntary teleportation between worlds","Fighting Experience, Archaeologist",
Amazo,https://static.wikia.nocookie.net/superheroes/images/e/ec/Amazo.jpg/revision/latest/scale-to-width-down/220?cb=20191115134451,,,,,,,,,
Aquaman,https://static.wikia.nocookie.net/superheroes/images/3/3b/Aquaman.jpg/revision/latest/scale-to-width-down/250?cb=20240220180022,,"More Fun Comics #73 (November, 1941)","Mort Weisinger, Paul Norris",,"King of the Seven Seas, The Dweller-in-the-Depths, Aquatic Ace, Marine Marvel, Terra Firma",Atlantis,"Marine telepathy that grants the ability to manipulate sea life, Aquatic adapted physiology grants him superhuman strength, endurance, durability, reflexes, agility, dexterity, healing, and senses, Low level hydrokinetic talents (some continuities), Enhanced swimming speed, Able to speak and understand any language on Earth thanks to telepathic abilities",Hand-to-Hand and Spear Fighting Expertise,"Trident, Hook (for a time)"
Archangel,https://static.wikia.nocookie.net/superheroes/images/a/ab/Archangel.jpg/revision/latest/scale-to-width-down/180?cb=20140424204405,,"X-Men (Vol. 1) #1 (September, 1963)","Stan Lee, Jack Kirby",,"Avenging Angel, Archangel, Dark Angel, Death","Salem Centre, New York","Flight, Enhanced strength, Aerial adaptation, Peak physical attributes, Metal wings for flight, speed, and projection of razor sharp feathers (as Archangel), Healing factor",Experience in managing company and fortune,Occasionally uses projectile weapons
Ariel,https://static.wikia.nocookie.net/superheroes/images/5/52/Ariel.jpg/revision/latest?cb=20240318161920,,"Fallen Angels #2 (February, 1987)","Jo Duffy, Kerry Gammill",X-Men,She Who Speaks Like Water Running Across the Stones,"Coconut Grove, Krakoa","Teleportation portals, Telepathic influence","Acting skills, Intensive knowledge of physics",
Atlas,https://static.wikia.nocookie.net/superheroes/images/3/32/Atlas.jpg/revision/latest/scale-to-width-down/250?cb=20240325040211,,"Avengers #21(August, 1965)","Stan Lee, Jack Kirby","Masters of Evil, Thunderbolts, Defenders, Revengers","Power Man, Goliath",Mobile,"Size increasing, Superhuman strength, Ionic energy form, Invulnerability",Fighting Experience,
