Name,Creator,Rating,English_Link,English_Release_Date,Status,Image_URL
Let's Play,Mongie,9.6 / 10,https://www.webtoons.com/en/romance/letsplay/list?title_no=1218,"November 6, 2017",Status not found,https://static.wikia.nocookie.net/webtoon/images/2/25/Let%27s_Play.png/revision/latest?cb=20210103012730
True Beauty,Yaongyi,9.71 / 10,https://www.webtoons.com/en/romance/truebeauty/list?title_no=1436,"August 15, 2018",Complete,https://static.wikia.nocookie.net/webtoon/images/f/f6/True_Beauty.png/revision/latest?cb=20210103022007
Midnight Poppy Land,Lilydusk,9.80 / 10,https://www.webtoons.com/en/romance/midnight-poppy-land/list?title_no=1798,"November 23, 2019 (Originals)September 2, 2017 (Canvas)",Ongoing,https://static.wikia.nocookie.net/webtoon/images/b/b6/Midnight_Poppy_Land.png/revision/latest/scale-to-width-down/350?cb=20210103004810
Age Matters,Enjelicious,9.82 / 10,https://www.webtoons.com/en/romance/age-matters/list?title_no=1364,"April 21, 2018",Ongoing,https://static.wikia.nocookie.net/webtoon/images/5/5e/Age_Matters.png/revision/latest?cb=20210103021536
Unholy Blood,Lina Im,9.86 / 10,https://www.webtoons.com/en/supernatural/unholy-blood/list?title_no=1262,"October 25, 2020",Status not found,https://static.wikia.nocookie.net/webtoon/images/9/90/Unholy_Blood.png/revision/latest/scale-to-width-down/350?cb=20210102044722
LUMINE,Emma Krogell,9.82 / 10,https://www.webtoons.com/en/fantasy/lumine/list?title_no=1022,"May 6, 2017",Hiatus,https://static.wikia.nocookie.net/webtoon/images/3/3c/LUMINE.png/revision/latest?cb=20210102060551
Jackson's Diary,Paola Batalla,9.67 / 10,https://www.webtoons.com/en/supernatural/jacksons-diary/list?title_no=2446,"January 23, 2021",Ongoing,https://static.wikia.nocookie.net/webtoon/images/9/9e/Jackson%27s_Diary.png/revision/latest?cb=20210124153637
Teenage Mercenary,YCRakyeon,9.83 / 10,https://www.webtoons.com/en/action/teenage-mercenary/list?title_no=2677,"June 29, 2021",Ongoing,https://static.wikia.nocookie.net/webtoon/images/3/3f/Teenage_Mercenary.png/revision/latest/scale-to-width-down/350?cb=20210704032820
Nice To Meet You,Wishroomness,9.8 / 10,https://www.webtoons.com/en/romance/nice-to-meet-you/list?title_no=2066,"May 31, 2020",Ongoing,https://static.wikia.nocookie.net/webtoon/images/7/71/Nice_To_Meet_You.png/revision/latest/scale-to-width-down/350?cb=20201031185208
I Love Yoo,Quimchee,9.77 / 10,https://www.webtoons.com/en/drama/i-love-yoo/list?title_no=986,"April 6, 2017",Ongoing,https://static.wikia.nocookie.net/webtoon/images/e/e6/I_Love_Yoo.png/revision/latest?cb=20210103045940
The Makeup Remover,Lee Yone,9.70 / 10,https://www.webtoons.com/en/romance/the-makeup-remover/list?title_no=2186,"September 21, 2020",Complete,https://static.wikia.nocookie.net/webtoon/images/7/7b/The_Makeup_Remover.png/revision/latest/scale-to-width-down/350?cb=20210103012908
Acception,Colourbee,8.99 / 10,https://www.webtoons.com/en/drama/acception/list?title_no=1513,"January 14, 2019 (Originals)February 15, 2018 (Canvas)",Hiatus,https://static.wikia.nocookie.net/webtoon/images/0/04/Acception.png/revision/latest/scale-to-width-down/350?cb=20210103012638
She's Hopeless,Seokwoo,9.65 / 10,https://www.webtoons.com/en/drama/shes-hopeless/list?title_no=2767,"May 14, 2021",Status not found,https://static.wikia.nocookie.net/webtoon/images/3/3b/She%27s_Hopeless.png/revision/latest/scale-to-width-down/350?cb=20210726044238
The Blood of the Butterfly,Remin,9.71 / 10,https://www.webtoons.com/en/fantasy/blood-of-the-butterfly/list?title_no=3162,"August 20, 2021",Ongoing,https://static.wikia.nocookie.net/webtoon/images/f/f2/The_Blood_of_the_Butterfly.png/revision/latest/scale-to-width-down/350?cb=20210821035603
Your Throne,SAM,9.81 / 10,https://www.webtoons.com/en/fantasy/your-throne/list?title_no=2009,"May 16, 2020",Ongoing,https://static.wikia.nocookie.net/webtoon/images/a/af/Your_Throne.png/revision/latest/scale-to-width-down/350?cb=20210103004941
